Time,Cell_Type,Cell_ID,Cell_RSSI,WiFi_MAC,WiFi_ID,WiFi_RSSI
signal_20251228_1539.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[291, 292, 282, 171, 170, 127]","[-77, -82, -106, -107, -107, -113]","[30:c6:d7:02:50:40, a0:69:d9:5c:cf:50, ec:da:59:89:ac:d0, 30:c6:d7:02:05:a0, 30:c6:d7:02:cd:20, 30:c6:d7:02:49:60, ec:da:59:89:ba:80, a0:69:d9:5c:bc:00, 30:c6:d7:04:60:20, ec:da:59:89:ba:70, 30:c6:d7:02:3e:20, a0:69:d9:5d:21:30, 30:c6:d7:02:ca:00, a0:69:d9:5c:bb:f0, 80:9d:65:dd:ff:85, a0:69:d9:5c:bc:10, 30:c6:d7:02:cd:28, a0:69:d9:5c:cf:60, 80:9d:65:dd:ff:a4, 30:c6:d7:02:ca:08, bc:9b:5e:c6:1c:5c, 80:9d:65:dd:ff:83, 80:9d:65:fe:f3:e2, d0:76:e7:23:eb:75, 30:c6:d7:02:05:a8, 30:c6:d7:02:49:68, 30:c6:d7:04:60:28, 30:c6:d7:02:50:48]","[HNU, HNU, HNU, HNU, HNU, HNU, HNU, HNU, HNU, HNU, HNU, HNU, HNU, HNU, AP_GD9239678, HNU, HNU, HNU, AP_GD9239681, HNU, , AP_GD9239671, AP_GD9244363, , HNU, HNU, HNU, HNU]","[-42, -83, -92, -73, -69, -54, -77, -69, -65, -67, -94, -89, -65, -68, -71, -65, -74, -77, -72, -64, -80, -86, -72, -62, -67, -57, -64, -52]"
signal_20251228_1539.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[291, 292, 282, 171, 170, 127]","[-77, -82, -106, -107, -107, -113]","[30:c6:d7:02:50:40, 30:c6:d7:02:cd:20, 30:c6:d7:02:05:a0, 30:c6:d7:02:49:60, ec:da:59:89:ba:80, a0:69:d9:5c:bc:00, 30:c6:d7:02:52:80, a0:69:d9:5c:cf:40, 30:c6:d7:04:60:20, ec:da:59:89:ba:70, 30:c6:d7:02:ca:00, a0:69:d9:5d:1f:80, a0:69:d9:5c:bb:f0, 80:9d:65:dd:ff:85, a0:69:d9:5c:bc:10, 30:c6:d7:02:c8:68, 80:9d:65:dd:ff:a4, 80:9d:65:dd:ff:83, bc:9b:5e:c6:19:3e, fa:c0:9c:de:b4:94, 30:c6:d7:02:50:48, 30:c6:d7:04:60:28, 30:c6:d7:02:49:68, ec:da:59:89:ba:90]","[HNU, HNU, HNU, HNU, HNU, HNU, HNU, HNU, HNU, HNU, HNU, HNU, HNU, AP_GD9239678, HNU, HNU, AP_GD9239681, AP_GD9239671, , Xiaomi 14, HNU, HNU, HNU, HNU]","[-52, -75, -68, -58, -82, -68, -86, -83, -61, -78, -74, -92, -62, -81, -65, -67, -77, -84, -90, -78, -56, -66, -57, -66]"
signal_20251228_1539.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[291, 292, 282, 171, 170, 127]","[-77, -82, -106, -107, -107, -113]","[30:c6:d7:02:50:40, 30:c6:d7:02:05:a0, 30:c6:d7:02:49:60, a0:69:d9:5c:bc:00, 30:c6:d7:02:52:80, a0:69:d9:5d:20:40, 30:c6:d7:02:c8:60, a0:69:d9:5c:cf:40, 30:c6:d7:02:ca:00, a0:69:d9:5c:bb:f0, 44:f9:71:92:31:79, 30:c6:d7:02:c8:68, a0:69:d9:5c:bc:10, a0:69:d9:5c:cf:60, 4e:1b:93:f4:71:17, 80:9d:65:dd:ff:85, fa:c0:9c:de:b4:94, 80:9d:65:fe:f3:e2, 30:c6:d7:02:49:68, 30:c6:d7:04:60:28, 30:c6:d7:02:50:48, ec:da:59:89:ba:90, 30:c6:d7:02:cd:20, ec:da:59:89:ba:80, 30:c6:d7:04:60:20, ec:da:59:89:ba:70, a0:69:d9:5d:1f:80, 80:9d:65:dd:ff:a4, 80:9d:65:dd:ff:83, bc:9b:5e:c6:19:3e]","[HNU, HNU, HNU, HNU, HNU, HNU, HNU, HNU, HNU, HNU, MERCURY_3179, HNU, HNU, HNU, HONOR 200, AP_GD9239678, Xiaomi 14, AP_GD9244363, HNU, HNU, HNU, HNU, HNU, HNU, HNU, HNU, HNU, AP_GD9239681, AP_GD9239671, ]","[-47, -74, -65, -64, -91, -92, -61, -88, -79, -65, -86, -57, -63, -76, -94, -78, -76, -78, -61, -56, -48, -68, -75, -82, -61, -78, -92, -77, -84, -90]"
signal_20251228_1539.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[291, 292, 282, 171, 170, 127]","[-77, -82, -106, -107, -107, -113]","[30:c6:d7:02:50:40, a0:69:d9:5d:21:40, 30:c6:d7:02:05:a0, 30:c6:d7:02:49:60, a0:69:d9:5c:bc:00, ec:da:59:89:ba:80, a0:69:d9:5d:1f:90, 30:c6:d7:04:60:20, a0:69:d9:5d:21:30, 30:c6:d7:02:ca:00, a0:69:d9:5c:bb:f0, 80:9d:65:dd:ff:85, 30:c6:d7:02:c8:68, a0:69:d9:5c:bc:10, a0:69:d9:5c:cf:60, 80:9d:65:dd:ff:a4, fa:c0:9c:de:b4:94, 30:c6:d7:04:60:28, d0:76:e7:23:eb:75, 80:9d:65:fe:f3:e2, 30:c6:d7:02:49:68, 30:c6:d7:02:05:a8, 30:c6:d7:02:50:48, ec:da:59:89:ba:90, 30:c6:d7:02:52:80, a0:69:d9:5d:20:40, 30:c6:d7:02:c8:60, a0:69:d9:5c:cf:40, 44:f9:71:92:31:79, 4e:1b:93:f4:71:17, 30:c6:d7:02:cd:20, ec:da:59:89:ba:70, a0:69:d9:5d:1f:80, 80:9d:65:dd:ff:83, bc:9b:5e:c6:19:3e]","[HNU, HNU, HNU, HNU, HNU, HNU, HNU, HNU, HNU, HNU, HNU, AP_GD9239678, HNU, HNU, HNU, AP_GD9239681, Xiaomi 14, HNU, , AP_GD9244363, HNU, HNU, HNU, HNU, HNU, HNU, HNU, HNU, MERCURY_3179, HONOR 200, HNU, HNU, HNU, AP_GD9239671, ]","[-48, -91, -66, -74, -65, -88, -89, -53, -84, -81, -59, -83, -57, -61, -77, -81, -75, -59, -83, -83, -69, -58, -60, -75, -91, -92, -61, -88, -86, -94, -75, -78, -92, -84, -90]"
signal_20251228_1539.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[291, 292, 282, 171, 170, 127]","[-77, -82, -106, -107, -107, -113]",[],[],[]
signal_20251228_1539.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[291, 292, 282, 171, 170, 127]","[-77, -82, -106, -107, -107, -113]",[],[],[]
signal_20251228_1539.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[291, 292, 282, 171, 170, 127]","[-77, -82, -106, -107, -107, -113]",[],[],[]
signal_20251228_1539.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[291, 292, 282, 171, 170, 127]","[-77, -82, -106, -107, -107, -113]",[],[],[]
signal_20251228_1539.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[291, 292, 282, 171, 170, 127]","[-77, -82, -106, -107, -107, -113]",[],[],[]
signal_20251228_1539.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[291, 292, 282, 171, 170, 127]","[-77, -82, -106, -107, -107, -113]",[],[],[]
